Month,Temperature_C,Humidity_PRC,Leaf_Wetness_Hr,Rainfall_mm,Wind_Speed_ms,UV_Index,Light_Intensity_Lux,Disease_Type
2,7.46,52.18,1.48,0.09,4.28,4.6,19773.0,Healthy
5,13.66,85.43,8.78,1.7,0.93,2.5,12682.0,Apple Scab
7,28.16,85.79,7.54,2.26,0.61,8.0,12709.0,Alternaria
4,25.02,62.12,1.76,1.04,2.8,9.8,17185.0,Healthy
4,15.36,81.91,10.43,10.75,2.01,2.9,500.0,Apple Scab
6,21.78,77.43,1.31,0.02,5.46,5.5,18239.0,Powdery Mildew
6,17.29,87.76,7.04,0.37,2.87,3.3,13993.0,Apple Scab
5,18.99,92.7,4.81,5.57,4.89,1.4,4295.0,Cedar Apple Rust
10,14.06,56.17,2.44,0.08,5.62,7.3,21197.0,Healthy
9,24.16,90.53,15.39,1.9,2.57,7.0,12685.0,Alternaria
6,26.29,62.97,1.2,0.46,0.93,3.7,17416.0,Powdery Mildew
11,14.62,25.31,0.32,1.02,0.72,2.4,20265.0,Healthy
9,24.85,66.67,2.16,0.55,5.87,8.1,17534.0,Healthy
5,27.32,67.29,1.25,0.28,4.89,3.6,17793.0,Powdery Mildew
6,15.62,64.19,0.14,0.81,1.98,3.1,15837.0,Powdery Mildew
12,19.34,52.05,0.59,0.79,2.83,8.5,18697.0,Healthy
7,20.37,73.41,1.85,0.76,4.23,4.1,16794.0,Powdery Mildew
4,22.16,94.1,8.87,2.59,2.6,3.0,10202.0,Fire Blight
2,33.2,55.03,2.57,0.92,3.15,9.5,19463.0,Healthy
4,15.79,87.91,11.79,2.0,4.93,1.3,11614.0,Apple Scab
1,11.23,30.1,2.13,2.32,2.86,9.1,17775.0,Healthy
4,13.18,86.52,7.04,5.15,4.42,1.7,7135.0,Apple Scab
7,28.08,80.09,0.42,0.37,3.18,4.9,15912.0,Powdery Mildew
5,24.7,88.36,4.76,1.08,1.01,5.2,13065.0,Fire Blight
6,19.12,95.44,10.14,3.45,1.52,3.0,10099.0,Cedar Apple Rust
5,26.47,49.06,0.5,1.27,3.69,3.5,17464.0,Healthy
4,27.56,81.64,3.55,2.82,4.04,6.2,10807.0,Fire Blight
4,15.94,86.57,13.58,7.05,5.64,2.9,500.0,Apple Scab
8,28.78,90.05,8.28,2.5,3.96,7.1,11776.0,Alternaria
9,0.54,47.9,1.31,1.33,1.37,5.5,17304.0,Healthy
4,24.89,82.37,1.82,1.04,0.92,4.7,14321.0,Fire Blight
4,20.49,88.53,3.6,1.51,5.58,3.8,13153.0,Fire Blight
6,13.05,85.43,5.96,1.84,2.99,1.5,12945.0,Apple Scab
2,4.19,79.41,0.24,2.24,3.14,8.1,14423.0,Healthy
5,30.25,76.28,6.4,1.64,4.54,6.0,14942.0,Fire Blight
11,29.26,46.43,2.25,0.52,3.21,5.4,18527.0,Healthy
7,18.17,61.36,0.29,0.22,5.12,2.7,18558.0,Powdery Mildew
5,23.73,90.37,4.86,3.94,1.32,7.0,6999.0,Fire Blight
8,23.0,54.86,1.89,0.5,1.17,3.0,16981.0,Powdery Mildew
4,23.24,81.2,5.45,3.77,5.28,4.1,7656.0,Fire Blight
4,22.8,96.34,10.68,2.96,0.85,3.4,10779.0,Cedar Apple Rust
5,27.34,71.41,1.89,0.35,4.14,8.1,17159.0,Healthy
4,13.52,88.14,11.44,0.81,2.37,1.0,13529.0,Apple Scab
4,22.8,82.09,3.66,1.2,1.19,4.2,13680.0,Fire Blight
8,23.29,56.99,1.26,0.08,2.57,2.2,19795.0,Powdery Mildew
6,15.62,90.53,11.21,1.32,2.96,3.4,13995.0,Apple Scab
8,28.7,81.59,12.16,0.27,0.9,5.7,15645.0,Alternaria
5,24.99,83.38,4.88,1.46,4.97,7.0,13149.0,Fire Blight
8,23.66,85.41,9.38,1.36,0.9,8.3,14127.0,Alternaria
8,27.37,61.47,1.5,0.46,5.73,3.6,17795.0,Powdery Mildew
7,27.28,65.84,0.17,0.12,0.71,9.3,18729.0,Healthy
5,25.12,82.24,6.02,3.04,5.97,5.7,10017.0,Fire Blight
5,11.42,39.67,1.71,0.66,3.76,5.2,18346.0,Healthy
8,15.4,43.16,1.49,0.24,1.83,2.0,19420.0,Healthy
4,23.18,88.78,5.69,2.5,3.06,6.5,11346.0,Fire Blight
8,27.89,73.31,0.08,0.36,3.16,5.1,16783.0,Powdery Mildew
4,20.03,94.07,7.25,7.22,2.43,3.2,1020.0,Cedar Apple Rust
6,13.36,85.33,10.88,1.17,0.61,4.0,13611.0,Apple Scab
4,23.78,80.86,5.02,1.89,4.38,4.4,14788.0,Fire Blight
5,15.1,84.77,12.51,0.63,5.12,1.8,15799.0,Apple Scab
4,25.11,87.73,6.69,2.15,1.53,6.2,10017.0,Fire Blight
6,16.49,84.81,8.57,1.07,3.1,1.2,13843.0,Apple Scab
8,20.66,71.53,1.24,0.52,1.5,3.2,16844.0,Powdery Mildew
9,31.25,90.58,11.56,2.55,2.52,6.2,12010.0,Alternaria
4,26.53,86.26,5.3,1.78,5.74,5.6,10790.0,Fire Blight
6,16.93,90.63,9.51,4.36,5.51,3.4,6240.0,Apple Scab
5,20.51,92.23,5.04,6.02,4.5,2.9,3340.0,Cedar Apple Rust
5,22.07,79.91,1.96,0.56,3.18,2.0,18184.0,Powdery Mildew
6,24.57,58.38,1.58,0.93,5.55,5.8,16861.0,Powdery Mildew
4,16.37,83.23,4.5,2.78,3.52,3.9,10600.0,Fire Blight
7,27.8,65.32,1.91,0.52,2.17,5.2,17465.0,Powdery Mildew
5,17.11,91.0,8.53,9.85,0.54,2.5,500.0,Apple Scab
4,22.28,93.89,5.15,4.89,1.54,2.5,5951.0,Cedar Apple Rust
4,23.86,95.1,5.6,2.07,2.97,2.5,10844.0,Cedar Apple Rust
4,20.39,91.46,9.39,1.43,5.47,1.6,14704.0,Apple Scab
9,11.66,56.87,2.2,0.05,1.1,4.2,21042.0,Healthy
10,17.25,32.93,0.79,1.98,4.09,6.5,17746.0,Healthy
4,21.38,95.97,7.09,4.71,3.85,3.8,5242.0,Cedar Apple Rust
5,20.13,59.22,1.68,0.05,1.8,5.4,18820.0,Powdery Mildew
12,20.88,35.82,2.43,0.43,3.18,3.4,19497.0,Healthy
6,26.78,63.52,1.13,0.05,1.61,3.5,18332.0,Powdery Mildew
5,31.57,72.92,0.21,1.48,1.64,4.5,16096.0,Healthy
5,31.7,73.08,0.16,0.35,4.3,2.8,16530.0,Powdery Mildew
6,26.09,29.5,2.46,0.17,2.24,8.9,23085.0,Healthy
9,26.74,82.21,8.61,0.64,2.17,7.8,15797.0,Alternaria
7,23.19,92.32,10.31,2.63,2.76,7.6,9182.0,Alternaria
4,19.86,66.04,1.97,0.91,4.11,9.0,16964.0,Healthy
5,19.29,95.89,6.56,2.57,5.7,1.5,13045.0,Cedar Apple Rust
4,24.47,95.63,0.0,3.53,5.11,4.2,7878.0,Fire Blight
4,19.9,95.01,5.86,6.86,2.6,2.5,878.0,Cedar Apple Rust
7,21.23,74.36,0.65,0.9,1.61,4.9,17206.0,Powdery Mildew
6,27.23,84.4,7.6,2.61,2.22,8.3,11160.0,Alternaria
7,20.28,79.14,0.99,0.14,4.51,2.3,16406.0,Powdery Mildew
5,19.12,78.9,5.66,0.85,4.68,3.9,17001.0,Fire Blight
5,24.86,77.09,8.11,3.44,5.65,3.2,9338.0,Fire Blight
10,25.54,39.58,2.32,2.87,1.58,3.0,16241.0,Healthy
6,24.67,71.88,0.81,0.18,5.69,2.6,20618.0,Powdery Mildew
5,10.85,48.03,1.77,2.37,5.01,3.6,14227.0,Healthy
8,17.24,63.12,0.77,0.82,2.68,4.3,18562.0,Powdery Mildew
6,13.13,87.78,12.59,1.75,0.66,2.5,11928.0,Apple Scab
1,17.23,46.24,2.43,0.88,3.54,6.7,18879.0,Healthy
2,28.95,47.29,2.06,2.03,1.69,8.6,17278.0,Healthy
6,14.9,85.0,9.36,2.67,0.75,1.8,11133.0,Apple Scab
6,21.29,90.36,9.87,9.12,4.73,1.0,500.0,Apple Scab
6,18.77,97.29,7.75,5.72,1.38,2.5,4404.0,Cedar Apple Rust
8,20.92,61.18,0.94,0.37,3.62,5.7,17181.0,Powdery Mildew
6,12.83,91.52,8.2,2.25,4.83,1.5,12425.0,Apple Scab
5,11.59,93.27,13.7,3.59,0.88,1.8,7558.0,Apple Scab
5,25.41,75.4,5.02,2.78,3.32,5.2,9134.0,Fire Blight
6,14.86,89.21,11.88,2.67,4.06,2.1,10950.0,Apple Scab
6,24.3,79.3,1.34,0.58,5.26,2.0,15281.0,Powdery Mildew
5,20.44,44.06,0.29,0.11,2.52,5.2,19826.0,Powdery Mildew
4,25.52,88.05,4.37,3.57,4.4,6.9,9955.0,Fire Blight
4,21.17,94.47,8.36,6.73,3.07,1.2,2712.0,Cedar Apple Rust
11,25.55,47.27,2.39,0.37,1.56,6.0,19734.0,Healthy
12,9.06,76.25,0.05,0.65,4.47,4.1,15729.0,Healthy
5,23.31,71.27,1.1,0.94,3.46,4.0,17231.0,Powdery Mildew
7,19.63,90.09,8.74,0.07,5.08,8.9,17962.0,Alternaria
6,22.57,70.72,0.22,0.93,4.98,4.2,16222.0,Powdery Mildew
5,19.97,96.23,6.39,6.35,2.35,2.6,3324.0,Cedar Apple Rust
7,28.44,76.51,1.51,0.46,0.98,4.3,15641.0,Powdery Mildew
4,21.59,75.06,2.51,1.51,4.41,4.0,14474.0,Fire Blight
6,19.29,49.86,1.75,0.68,2.64,5.2,18887.0,Powdery Mildew
10,12.46,22.4,1.05,0.85,1.89,4.6,19846.0,Healthy
12,9.78,54.6,1.85,1.0,2.0,6.1,20975.0,Healthy
4,23.69,90.05,5.03,2.95,4.11,4.8,8764.0,Fire Blight
7,21.06,85.66,0.88,0.31,3.35,2.6,16553.0,Powdery Mildew
5,21.07,96.93,9.19,8.99,2.57,4.0,500.0,Cedar Apple Rust
4,15.43,85.97,10.62,1.6,2.43,1.8,12861.0,Apple Scab
6,23.94,82.83,15.89,2.55,3.4,7.2,11207.0,Alternaria
5,16.93,77.11,0.62,0.82,0.9,6.0,16744.0,Powdery Mildew
5,25.23,74.66,1.16,0.05,4.31,5.2,16723.0,Powdery Mildew
1,29.96,37.74,0.08,0.04,4.08,9.5,23093.0,Healthy
5,23.35,40.11,2.02,1.81,5.77,4.3,17519.0,Healthy
2,14.29,41.32,0.66,3.79,1.93,5.4,13045.0,Healthy
4,19.84,96.41,6.26,3.37,2.96,2.6,8287.0,Cedar Apple Rust
8,23.24,59.93,0.09,0.02,1.73,4.3,20035.0,Powdery Mildew
8,11.08,93.34,2.54,1.4,3.36,2.3,12953.0,Healthy
6,21.55,93.79,3.3,6.52,5.24,2.8,705.0,Cedar Apple Rust
9,26.34,93.31,7.87,0.16,3.25,5.6,14669.0,Alternaria
4,20.16,77.71,4.64,1.71,5.76,6.6,14088.0,Fire Blight
6,24.87,77.96,1.08,0.47,2.3,4.8,16150.0,Powdery Mildew
8,1.18,51.34,1.91,3.05,5.54,8.6,13984.0,Healthy
5,25.33,81.08,3.86,1.73,5.57,5.1,12345.0,Fire Blight
4,19.63,93.29,5.79,4.93,5.95,2.3,4276.0,Cedar Apple Rust
9,30.58,86.76,10.3,0.58,1.75,7.9,14713.0,Alternaria
5,26.76,77.65,1.73,0.43,2.74,4.8,15213.0,Powdery Mildew
8,24.23,89.69,13.06,0.88,2.28,6.6,12873.0,Alternaria
9,23.66,85.93,9.38,2.14,2.13,6.8,12517.0,Alternaria
4,22.4,90.49,8.21,4.75,3.69,2.0,5792.0,Cedar Apple Rust
7,16.05,71.6,0.93,0.56,3.54,4.3,17276.0,Powdery Mildew
4,28.47,77.69,5.78,1.62,1.08,3.4,13902.0,Fire Blight
5,20.39,93.43,10.34,0.12,2.16,2.3,15218.0,Cedar Apple Rust
4,17.26,83.54,9.19,0.36,5.52,4.0,14806.0,Apple Scab
6,26.63,94.42,13.04,0.5,3.03,6.0,13886.0,Alternaria
6,13.75,92.0,9.84,1.63,2.66,3.1,13640.0,Apple Scab
5,25.25,69.55,1.81,0.3,1.55,2.2,17695.0,Powdery Mildew
5,18.36,77.72,0.51,0.46,5.37,3.1,16745.0,Powdery Mildew
4,28.92,90.09,5.82,3.18,5.45,5.7,12500.0,Fire Blight
9,27.82,95.27,11.69,1.96,1.19,5.9,11386.0,Alternaria
5,29.2,64.17,1.82,0.8,4.88,2.6,17606.0,Powdery Mildew
7,24.77,92.4,9.47,2.47,0.67,8.9,12525.0,Alternaria
4,21.86,87.15,7.14,2.73,0.62,4.6,11399.0,Fire Blight
4,26.16,87.51,6.74,3.52,3.93,3.9,7971.0,Fire Blight
8,21.52,72.86,1.92,0.87,4.02,5.8,15203.0,Powdery Mildew
9,5.86,29.19,0.01,0.79,4.01,9.6,19855.0,Healthy
5,15.47,87.72,7.42,4.62,3.16,3.2,6808.0,Apple Scab
6,10.63,88.26,10.26,8.03,1.58,2.1,500.0,Apple Scab
6,19.38,99.16,7.44,5.31,0.95,1.5,4709.0,Cedar Apple Rust
6,19.51,96.37,8.11,1.81,2.34,1.5,10581.0,Cedar Apple Rust
6,16.32,94.55,7.75,4.61,2.01,2.0,5941.0,Cedar Apple Rust
5,22.12,79.51,3.9,2.01,5.61,5.9,13707.0,Fire Blight
7,23.26,10.0,0.69,0.24,3.27,8.3,25540.0,Healthy
6,13.88,88.98,8.33,3.21,3.08,2.7,9196.0,Apple Scab
4,21.73,53.75,0.07,0.51,2.25,6.8,18856.0,Healthy
4,15.95,56.92,1.06,0.54,2.58,8.8,18282.0,Healthy
4,21.43,89.12,9.01,1.55,2.02,3.6,13542.0,Apple Scab
4,24.11,81.25,5.02,2.35,5.67,4.9,11983.0,Fire Blight
1,18.34,41.36,2.26,3.37,2.76,8.6,12483.0,Healthy
6,25.09,59.29,1.37,0.95,2.78,5.7,17866.0,Powdery Mildew
5,24.96,84.55,2.18,3.79,5.34,6.3,9311.0,Fire Blight
5,20.2,77.54,1.38,3.2,4.53,5.5,12320.0,Fire Blight
4,12.45,92.06,12.13,5.33,5.9,3.3,5771.0,Apple Scab
4,26.82,81.47,3.41,1.28,3.71,4.6,13143.0,Fire Blight
8,21.7,39.06,0.52,2.57,0.99,8.7,16791.0,Healthy
8,32.08,71.08,0.19,0.01,2.12,2.8,18441.0,Powdery Mildew
4,22.84,79.66,3.27,1.96,4.62,6.9,13816.0,Fire Blight
7,24.99,87.18,13.54,1.1,4.75,5.4,12888.0,Alternaria
5,26.13,89.57,4.83,1.44,2.41,4.4,13256.0,Fire Blight
5,26.1,72.97,0.85,0.67,3.91,4.3,17622.0,Powdery Mildew
9,27.03,87.68,12.8,0.25,3.03,8.6,16044.0,Alternaria
7,24.85,66.58,0.68,0.42,3.36,4.4,16805.0,Powdery Mildew
6,19.75,76.71,1.04,0.26,4.79,5.9,16582.0,Powdery Mildew
5,29.92,39.41,2.57,0.54,1.93,4.0,20654.0,Healthy
6,20.48,97.65,10.3,8.17,4.8,2.2,796.0,Cedar Apple Rust
8,24.78,80.76,11.4,0.26,3.79,8.3,15902.0,Alternaria
5,20.43,97.55,10.4,3.96,5.89,3.5,7994.0,Cedar Apple Rust
6,16.26,92.36,9.21,2.29,3.1,3.0,11657.0,Apple Scab
6,14.77,88.51,11.6,1.9,3.78,3.9,10846.0,Apple Scab
3,7.24,74.62,2.99,1.58,5.25,7.5,14708.0,Healthy
5,20.32,82.0,3.3,2.95,3.93,5.7,8690.0,Fire Blight
4,29.22,85.82,2.23,3.9,1.11,6.3,6276.0,Fire Blight
5,16.12,86.86,8.73,7.05,0.64,2.9,2888.0,Apple Scab
12,9.1,47.58,1.32,0.22,5.34,3.4,18857.0,Healthy
4,21.06,88.24,4.61,3.76,2.24,3.1,8180.0,Fire Blight
6,14.29,92.3,6.28,4.38,0.83,3.6,6962.0,Apple Scab
9,29.22,80.03,9.52,1.23,0.66,5.4,14212.0,Alternaria
4,17.97,93.48,8.38,8.35,3.54,1.7,500.0,Cedar Apple Rust
7,27.51,84.32,6.84,0.5,0.87,5.1,15659.0,Alternaria
4,20.85,96.7,7.12,6.8,1.94,1.1,2124.0,Cedar Apple Rust
4,17.71,87.81,6.18,3.64,5.3,4.2,9421.0,Fire Blight
6,22.73,87.4,11.14,0.76,4.78,6.2,14043.0,Alternaria
5,18.82,94.64,6.03,6.74,5.69,2.0,1779.0,Cedar Apple Rust
6,20.2,78.12,10.78,2.42,3.84,7.1,9960.0,Alternaria
7,27.31,87.82,14.75,1.41,4.41,5.4,11664.0,Alternaria
5,13.61,85.69,8.41,2.05,5.71,2.9,13482.0,Apple Scab
5,19.92,95.26,8.34,1.49,1.95,1.9,11353.0,Cedar Apple Rust
6,11.62,87.81,9.84,1.88,5.64,2.5,12024.0,Apple Scab
8,24.75,62.58,0.03,0.18,1.59,2.6,17545.0,Powdery Mildew
5,20.22,96.55,5.53,7.99,3.7,3.7,529.0,Cedar Apple Rust
4,14.36,83.13,9.22,3.89,1.68,1.6,9088.0,Apple Scab
5,22.05,94.42,4.55,3.84,5.0,1.5,8668.0,Cedar Apple Rust
8,26.55,85.56,10.82,1.81,5.67,7.1,13596.0,Alternaria
5,20.08,95.68,5.86,2.97,3.02,1.6,11900.0,Cedar Apple Rust
5,21.98,62.02,1.93,0.73,3.39,4.2,17795.0,Powdery Mildew
6,19.42,96.2,7.41,4.99,4.4,1.1,5040.0,Cedar Apple Rust
2,7.14,25.76,0.62,0.14,4.26,9.3,21030.0,Healthy
5,24.42,59.49,0.04,0.51,1.3,2.5,17957.0,Powdery Mildew
6,13.14,87.47,10.39,3.52,4.11,3.6,9341.0,Apple Scab
6,14.04,89.86,9.34,4.59,3.7,3.8,6325.0,Apple Scab
6,37.48,44.33,2.17,1.41,5.24,2.7,16370.0,Healthy
6,20.78,98.42,10.32,5.48,4.24,3.0,2813.0,Cedar Apple Rust
5,20.95,71.71,1.49,0.76,2.62,4.2,18275.0,Powdery Mildew
7,27.28,87.11,13.35,0.9,2.84,5.2,13877.0,Alternaria
5,25.27,81.44,2.45,0.79,0.51,6.0,14523.0,Fire Blight
2,26.3,100.0,2.98,4.23,4.2,6.9,5122.0,Healthy
6,19.83,93.2,9.12,2.83,1.61,1.2,10709.0,Cedar Apple Rust
6,16.77,86.96,9.57,10.37,0.66,3.3,500.0,Apple Scab
4,19.4,83.9,8.49,1.68,4.74,5.1,13324.0,Fire Blight
3,10.77,45.54,2.09,0.41,3.53,4.0,19047.0,Healthy
5,24.76,95.45,10.89,5.32,1.86,3.9,4962.0,Cedar Apple Rust
11,19.21,45.96,1.66,0.07,3.63,6.9,20318.0,Healthy
7,18.08,67.22,0.77,0.53,2.9,4.9,17459.0,Powdery Mildew
5,23.7,80.01,6.58,0.51,4.61,5.2,16810.0,Fire Blight
5,18.96,92.1,7.93,8.8,4.05,2.2,500.0,Cedar Apple Rust
4,23.51,76.91,0.5,0.78,3.58,5.7,16676.0,Fire Blight
5,25.69,88.89,6.69,3.16,5.01,3.6,8314.0,Fire Blight
8,21.75,63.07,0.72,0.75,1.3,2.9,16250.0,Powdery Mildew
7,25.14,57.63,0.43,0.5,1.41,3.1,19762.0,Powdery Mildew
4,20.91,88.07,5.93,1.29,5.25,6.7,13679.0,Fire Blight
4,13.9,85.69,11.65,4.65,1.49,3.2,6031.0,Apple Scab
4,20.12,86.33,3.25,2.47,0.69,3.5,11792.0,Fire Blight
7,23.49,63.98,1.88,0.37,4.27,6.0,16681.0,Powdery Mildew
8,21.37,60.16,1.25,0.1,3.91,3.9,20254.0,Powdery Mildew
8,29.85,84.54,9.94,0.27,3.88,6.2,14566.0,Alternaria
5,24.25,94.69,2.63,2.37,2.12,3.7,10497.0,Fire Blight
4,24.21,88.23,7.42,1.68,4.51,5.7,12048.0,Fire Blight
7,28.89,84.14,12.09,2.3,5.06,5.2,12034.0,Alternaria
5,22.57,87.63,5.66,3.69,5.33,6.5,9629.0,Fire Blight
6,20.62,95.76,9.79,6.1,3.36,1.6,2365.0,Cedar Apple Rust
4,26.12,92.29,5.72,1.73,1.54,6.1,11412.0,Fire Blight
5,13.29,90.86,11.04,1.14,2.25,1.8,14105.0,Apple Scab
5,21.85,88.78,6.71,2.98,4.82,4.5,11539.0,Fire Blight
5,25.31,94.13,3.39,0.8,2.14,3.4,13549.0,Fire Blight
7,15.94,80.5,1.1,0.56,2.35,7.5,15887.0,Healthy
6,22.23,68.62,0.42,0.63,2.27,2.6,17620.0,Powdery Mildew
6,15.0,91.87,7.6,2.41,2.41,1.7,11125.0,Apple Scab
1,11.58,33.88,1.24,0.08,3.22,4.9,22490.0,Healthy
8,32.71,83.37,9.96,2.23,3.31,7.6,11793.0,Alternaria
6,26.9,88.73,9.95,2.74,5.12,6.1,10172.0,Alternaria
4,26.83,86.01,2.69,3.17,2.97,5.6,8902.0,Fire Blight
12,25.68,33.87,0.09,0.75,0.69,7.9,19825.0,Healthy
5,14.8,86.78,9.87,8.47,5.85,3.9,500.0,Apple Scab
6,24.23,93.74,10.36,3.0,5.85,3.8,9630.0,Cedar Apple Rust
5,23.79,79.44,3.37,3.88,4.78,6.8,10342.0,Fire Blight
1,26.34,54.73,0.78,0.08,1.27,7.4,20039.0,Healthy
4,17.49,91.61,6.76,2.52,4.09,2.8,11444.0,Cedar Apple Rust
4,17.92,90.05,8.81,2.17,5.31,1.2,11935.0,Apple Scab
6,17.57,92.61,7.46,8.33,3.65,2.1,500.0,Cedar Apple Rust
4,15.8,88.04,10.95,3.95,3.96,2.6,8358.0,Apple Scab
4,17.15,88.45,8.0,2.09,5.51,3.5,12581.0,Apple Scab
9,24.05,82.34,9.92,0.53,3.4,7.8,14784.0,Alternaria
5,18.04,69.87,1.1,0.37,5.13,3.7,17514.0,Powdery Mildew
5,15.1,85.35,12.7,3.4,5.82,1.5,8157.0,Apple Scab
8,19.04,72.04,1.03,0.62,1.69,2.5,15832.0,Powdery Mildew
9,22.96,90.24,14.44,1.13,2.57,5.8,14526.0,Alternaria
5,19.89,75.78,1.71,0.04,5.51,2.7,17667.0,Powdery Mildew
8,26.62,87.0,12.12,0.44,3.6,8.1,15649.0,Alternaria
9,27.32,82.31,12.39,1.64,1.47,5.5,13337.0,Alternaria
4,21.3,95.01,7.73,4.55,1.74,3.6,5238.0,Cedar Apple Rust
6,15.09,87.6,12.44,3.18,3.1,2.0,10396.0,Apple Scab
5,22.86,93.26,0.83,1.0,2.17,2.6,14395.0,Powdery Mildew
5,22.26,93.52,7.68,5.97,3.66,3.8,3266.0,Cedar Apple Rust
5,16.07,56.85,0.77,0.75,1.1,5.1,17703.0,Healthy
10,22.01,35.39,0.1,0.99,2.82,2.2,19410.0,Healthy
5,22.7,84.6,5.18,3.74,5.38,6.8,10855.0,Fire Blight
8,23.89,87.66,11.2,1.1,1.81,5.2,14057.0,Alternaria
5,15.84,86.73,9.74,3.3,5.49,3.5,10612.0,Apple Scab
4,26.1,89.53,5.16,2.78,0.64,4.0,10959.0,Fire Blight
4,16.69,88.14,11.12,3.73,4.31,1.0,8395.0,Apple Scab
5,23.81,77.59,4.74,0.75,0.7,4.6,18624.0,Fire Blight
6,19.84,74.41,1.85,0.28,0.66,4.8,16566.0,Powdery Mildew
7,26.85,87.8,11.83,1.02,3.22,8.5,14256.0,Alternaria
6,12.66,66.87,1.42,2.38,5.42,7.9,13733.0,Healthy
6,19.96,95.57,4.62,4.22,2.13,1.5,6839.0,Cedar Apple Rust
6,14.66,84.29,13.82,1.97,4.11,1.4,13219.0,Apple Scab
4,27.72,76.47,6.64,1.89,2.38,6.0,13478.0,Fire Blight
9,26.38,71.02,0.16,0.22,5.86,9.1,16246.0,Healthy
10,11.51,35.77,0.85,0.05,2.03,9.8,20557.0,Healthy
7,12.13,52.0,2.66,2.07,2.77,9.0,14033.0,Healthy
4,22.38,80.99,7.73,0.67,2.36,4.3,16627.0,Fire Blight
4,16.08,88.63,6.78,6.99,2.17,2.7,1461.0,Apple Scab
4,27.67,81.56,4.27,3.92,1.81,4.9,8179.0,Fire Blight
12,13.04,56.34,2.84,1.28,1.24,3.7,17513.0,Healthy
9,24.36,89.6,13.62,1.03,4.8,5.5,12849.0,Alternaria
4,23.5,84.62,7.5,3.53,2.23,5.2,9518.0,Fire Blight
5,23.75,77.65,3.72,2.56,5.82,6.9,12765.0,Fire Blight
6,17.53,88.55,11.54,3.22,1.25,1.4,10245.0,Apple Scab
7,15.06,53.6,0.24,1.28,1.51,4.1,16058.0,Healthy
6,12.24,84.87,13.57,0.71,3.77,2.2,14624.0,Apple Scab
5,14.76,80.99,7.41,2.7,5.65,3.9,12851.0,Apple Scab
5,18.32,70.33,1.51,0.99,3.22,3.8,15227.0,Powdery Mildew
5,23.37,72.88,1.71,0.72,1.13,3.5,15183.0,Powdery Mildew
5,16.31,87.63,7.83,0.4,5.11,1.8,14954.0,Apple Scab
5,22.33,95.42,7.03,8.11,5.17,1.7,500.0,Cedar Apple Rust
4,19.63,86.92,3.45,3.01,0.62,3.1,12050.0,Fire Blight
5,15.15,83.82,9.03,10.35,1.65,1.1,500.0,Apple Scab
7,15.36,71.2,1.29,0.66,3.54,4.0,16355.0,Powdery Mildew
11,27.74,42.37,0.55,0.01,1.95,4.3,21380.0,Healthy
4,10.45,89.15,8.6,7.52,2.76,2.8,500.0,Apple Scab
8,21.45,68.2,0.19,0.26,3.49,3.6,19271.0,Powdery Mildew
8,22.07,71.16,1.27,0.12,1.33,2.7,18971.0,Powdery Mildew
6,23.91,85.3,11.85,0.82,2.96,8.9,14505.0,Alternaria
6,15.54,85.65,14.2,0.19,4.33,2.6,16771.0,Apple Scab
6,24.47,72.86,0.77,0.22,3.88,5.8,17291.0,Powdery Mildew
5,25.2,86.88,5.88,1.5,3.3,4.7,11630.0,Fire Blight
6,27.48,86.32,9.44,0.63,2.83,8.0,16733.0,Alternaria
3,30.23,30.71,1.2,0.4,2.12,2.1,23662.0,Healthy
3,14.02,29.28,1.81,0.21,2.78,5.2,23030.0,Healthy
5,21.89,88.17,5.26,1.83,3.29,3.3,13578.0,Fire Blight
8,15.87,64.57,1.35,0.06,3.01,3.7,17850.0,Powdery Mildew
12,26.6,52.05,2.44,0.25,1.42,8.3,18861.0,Healthy
5,14.26,89.54,9.49,3.39,0.51,3.9,9096.0,Apple Scab
7,22.58,90.12,13.65,2.51,0.6,5.5,11671.0,Alternaria
5,10.71,85.34,7.42,8.08,2.83,2.0,1556.0,Apple Scab
8,26.32,66.49,1.34,0.47,1.77,2.4,16658.0,Powdery Mildew
9,24.23,84.44,9.74,0.92,3.62,7.2,14101.0,Alternaria
4,15.4,97.93,9.17,4.53,1.93,3.8,5621.0,Cedar Apple Rust
3,33.03,69.35,1.18,0.14,3.18,4.6,19067.0,Healthy
5,20.41,85.94,4.28,1.13,2.43,6.5,14202.0,Fire Blight
5,14.02,91.49,8.34,3.78,3.07,2.0,6677.0,Apple Scab
9,20.0,89.14,12.7,0.88,5.72,6.6,13776.0,Alternaria
4,24.23,80.2,4.48,1.61,0.86,4.9,15170.0,Fire Blight
5,22.21,92.08,10.16,6.87,2.31,3.1,1521.0,Cedar Apple Rust
5,22.25,94.48,10.27,8.58,4.52,1.3,500.0,Cedar Apple Rust
6,28.29,90.98,17.43,1.5,5.21,5.1,11813.0,Alternaria
6,30.54,61.21,0.78,0.26,3.69,2.3,18726.0,Powdery Mildew
7,26.14,72.76,1.79,0.12,3.58,2.3,18654.0,Powdery Mildew
6,30.08,84.71,13.66,0.01,5.38,6.7,16959.0,Alternaria
9,31.5,84.42,10.92,2.11,0.89,8.8,14177.0,Alternaria
5,23.21,92.95,3.36,0.57,1.38,3.7,12638.0,Fire Blight
11,12.99,26.39,1.94,0.56,1.71,6.6,21325.0,Healthy
4,18.16,84.7,9.3,1.22,4.76,1.8,12824.0,Apple Scab
